Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI Q5,2,4,SemiAuto-8,4WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AUF,small SUV,6,14/20,19/27,16/22,5,No,394/395
AUDI Q5,2,4,SemiAuto-8,4WD,Ethanol/Gas,CA,U2,California LEV-II ULEV,HVGAJ02.0AUF,small SUV,6,14/20,19/27,16/22,5,No,394/395
AUDI Q5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ03.0AUD,small SUV,6,18,26,21,4,No,429
AUDI Q5,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAJ03.0AUD,small SUV,6,18,26,21,4,No,429
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,standard SUV,6,20,25,22,5,No,406
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,standard SUV,6,20,25,22,5,No,406
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,HVGAT03.0AUT,standard SUV,5,19,25,21,4,No,419
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAT03.0AUT,standard SUV,6,19,25,21,4,No,419
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV05.2NLE,small car,5,14,22,17,3,No,519
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV05.2NLE,small car,5,14,22,17,3,No,519
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV05.2NLE,small car,5,14,22,17,3,No,519
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV05.2NLE,small car,5,14,22,17,3,No,519
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAV02.5NAG,small car,6,19,28,22,5,No,399
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV02.5NAG,small car,6,19,28,22,5,No,399
AUDI RS7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,midsize car,6,15,25,18,3,No,497
AUDI RS7,4,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,midsize car,6,15,25,18,3,No,497
AUDI S3,2,4,AMS-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV02.0AUA,small car,6,21,28,24,5,No,373
AUDI S3,2,4,AMS-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV02.0AUA,small car,6,21,28,24,5,No,373
AUDI S5,3,6,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ03.0AUD,small car,6,18,28,21,4,No,413
AUDI S5,3,6,AMS-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAJ03.0AUD,small car,6,18,28,21,4,No,413
